00:00 +0: loading C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart
00:00 +0: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: OFF overtaking a platform schedule cancels it and ON recreates it: calendarEvent
00:00 +1: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: OFF overtaking a platform schedule cancels it and ON recreates it: task
00:00 +2: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: OFF overtaking a platform schedule cancels it and ON recreates it: weeklyReview
00:00 +3: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +4: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +5: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +6: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +7: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +8: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +9: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +10: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: calendarEvent preview content refresh reuses identity and is idempotent
00:00 +11: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: obsolete allocated reminder is cancelled and marked obsolete
00:00 +12: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: task preview content refresh reuses identity and is idempotent
00:00 +13: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: cancelled and deleted canonical occurrences remove reminders
00:00 +14: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: weeklyReview preview content refresh reuses identity and is idempotent
00:00 +15: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: reschedule retires old identity and creates new identity once
00:00 +16: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: reschedule retires old identity and creates new identity once
00:00 +17: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: source scope leaves unrelated Event and Task work untouched
00:01 +40: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +41: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +42: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +43: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +44: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +45: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +46: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +47: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +48: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +49: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +50: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +51: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +52: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +53: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +54: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +55: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +56: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +57: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +58: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +59: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +60: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +61: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +62: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +63: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:02 +64: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: cancel, reschedule, replacement, and duplicate use exact scopes
00:02 +65: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: direct occurrence and series policy changes reconcile once
00:02 +66: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: badge projection failure cannot roll back Event creation
00:03 +67: All tests passed!
